fr,dje
Les nattes tissées servent de lit et de siège dans les maisons traditionnelles.,Taafe tajante ga goy daari nda goro jinay alaada windey ra.
Le tourisme est peu développé malgré les potentialités.,Yaw diraw mana boobo hal'a ma gonda dabari.
Les champs sont surveillés contre les animaux sauvages.,Farey ga batandi saaji almaney ga.
La planification familiale est encouragée par les services de santé.,Windi zankey lasaabu ga ganji safaari fuuyaŋ do.
Les teinturiers colorent les tissus avec des pigments naturels et chimiques.,Birji-koyey ga taafe birji nda saaji nda chimie birji.
Les étudiants rêvent de poursuivre leurs études à l'étranger.,Caw-koy beerey ga bine daŋ ngi cawey gaabu taraylaabo ra.
Les agents de santé communautaires font de la sensibilisation dans les villages.,Jama baafunay goykoyey ga fahami noo koyraa ra.
"La dot comprend souvent du bétail, des vêtements et de l'argent.","Almahar ra ga tee alman, darbay nda nooru."
Les réunions villageoises se tiennent sous l'arbre à palabres.,Koyraa margayaŋ ga tee yaamar tuuri cire.
Les puits traditionnels sont creusés à la main.,Baytu day-hari guusuyaŋ ga fansi nda kabe.
La vaccination du bétail protège contre les épidémies.,Alman pikiri nooyan ga goji wircitaray ga.
Les jeunes créent des petites entreprises pour gagner leur vie.,Arwasey ga goyyaŋ kayna sintini ka ngey boori.
La moto est devenue un moyen de transport essentiel.,Mooto ga tee diraw jinay kaŋ ga hima gumo.
Les marchés aux légumes sont très animés tôt le matin.,Dumari habu ga funi gumo susubay za nango si bo.
Les récits traditionnels sont racontés autour du feu le soir.,Baytu fillayaŋ ga deede nuune windanta wicira.
Les agents de vulgarisation agricole conseillent les fermiers.,Fari goy dondonandikoyey ga beeri-keyey saaware.
Les marabouts pratiquent la divination et les guérisons spirituelles.,Alfagey ga gunandi nda bine safaarey te.
La couture est enseignée aux jeunes filles dans les centres de formation.,Zaama-darbay teji ga cawandi wandiiya yaŋ se dondon fuuyaŋ ra.
Le mariage précoce des filles est combattu par les associations.,Wandiyayaŋ hiija waati kayna ga wamandi margu-koyey do.
Les téléphones mobiles permettent les transferts d'argent instantanés.,Telefon ga naŋ nooru ma samba tanba waate.
Les herboristes connaissent les propriétés de chaque plante.,Safaari subu baykoyyaŋ ga tuuri foo kulu nafaw bay.
Les transporteurs acheminent les marchandises des ports aux marchés intérieurs.,Jeebo-koyey ga maamala jinay sambu ka fun teeku me ka koy habu kuray.
Les animateurs radio sensibilisent sur les questions de santé.,Radiyo feesukey ga fahami noo baafunay boŋ.
Les centres de santé manquent souvent de médicaments essentiels.,Baafunay fuuyaŋ ra safaari boobey ga jaŋ.
Le mil germé sert à préparer la bière traditionnelle.,Haabi zeeney ga goy ka dolo bii baytu ra.
Les vendeurs ambulants proposent leurs produits dans les rues.,Neereikoy yaaru-koyey ga ngi jinayey neerandi fondey boŋ.
Les forgerons fabriquent des outils agricoles en métal.,Guuru-goy-koyey ga guuru fari goy jinay tee.
La sécheresse pousse les éleveurs à migrer vers le sud.,Heray ga alman-jurukoyey gana ka dira ka koy gurma.
Les jeunes utilisent les réseaux sociaux sur leurs téléphones.,Arwasey ga jama deene goyyaŋ goy ngi telefoney boŋ.
Les moulins à grain motorisés facilitent le travail des femmes.,Motor dumari fusey ga wayborey goy faalandi.
Les cases traditionnelles sont construites en banco et recouvertes de paille.,Baytu fuuyaŋ ga cina nda tuba ka dabu nda subu.
La migration saisonnière vers les villes est courante pendant la saison sèche.,Koyraa beeri diraw zaamo waate ga boobo jiiri koga ra.
Les médicaments périmés constituent un problème de santé publique.,Safaari zeeno ga tee bine hasaraw jama baafunay se.
Les chasseurs connaissent parfaitement la faune locale.,Ganjiyaŋ ga nango alman gandoo bay ka timme.
Les commerçants utilisent des camions pour transporter leurs marchandises.,Neereikoyey ga kamiyoŋ goy ka ngi maamala jinay jeebe.
L'école coranique commence dès l'âge de cinq ans.,Alkarama lakol ga sintin za jiiri gu ga.
Les associations féminines organisent des activités génératrices de revenus.,Waybora margayaŋ ga nooru windiriyaŋ goy soolu.
La couverture réseau mobile s'étend progressivement aux zones rurales.,Telefon diraawo ga tonton ka huru saaji koyraa ra.
Les enfants apprennent à cultiver en aidant leurs parents.,Zankey ga beeriyan dondon za i ga ngi hayragey gaa.
Le palmier doum fournit des feuilles pour la vannerie.,Teenay tuuri ga fita noo ka condo muktu se.
Les fêtes traditionnelles renforcent la cohésion sociale.,Alaada batuyaŋ ga jama margarey gaabandi.
Les petits barrages permettent de retenir l'eau pour le bétail.,Bongu kayneyaŋ ga hari gaay almaney se.
Les maisons modernes en ciment remplacent progressivement les cases en banco.,Windi taaagey kaŋ ga cina nda siminti ga tuba fuuyaŋ barmay barmay.
Les entreprises de construction emploient de nombreux jeunes.,Windi cinakey goyo ga arwasuyaŋ boobo sambu.
Le beurre de karité est exporté vers l'Europe.,Bulanga ji ga neera ka koy Erope ra.
Les tailleurs sont très sollicités avant les grandes fêtes.,Zaarkoyey ga ceeci gumo batu beeri jine.
Les pompes à eau manuelles sont installées dans les villages.,Hari funandi jinay kanbante ga sinji koyraa ra.
Les plantes médicinales sont séchées avant utilisation.,Safaari tuurey ga kogsandi jina goyo jine.
Les panneaux solaires alimentent les antennes relais des opérateurs téléphoniques.,Wayna bangay jinayyaŋ ga telefon kompaniyaŋ antenyaŋ gaabi noo.
Les écoliers marchent souvent plusieurs kilomètres pour atteindre l'école.,Caw-jinakey ga taabu ka dira kilomeetar boobo ka koy lakol.
Le sable du désert envahit progressivement les terres cultivables.,Saajo labu ga koy ka fari laabuyaŋ daabu barmay-barmay.
Les boutiques solaires permettent de recharger les téléphones dans les villages.,Wayna carga neera fuuyaŋ ga naŋ telefon ma carga koyraa ra.
La médecine traditionnelle est transmise de génération en génération.,Baytu safaari ga cabe kayna nda kayna game.
Les femmes pilent le mil tous les matins pour préparer le repas.,Wayborey ga haabu yobu susubay kulu ka ŋwaari soolu.
L'eau bout à 100 degrés Celsius.,Hari ga tun derey zangu celsius.
La photosynthèse est un processus biologique.,Photosynthèse manayan biyoloji no.
"Les atomes sont composés de protons, neutrons et électrons.","Atom ga te nda proton, neutron nda elektron."
La gravité est une force d'attraction entre les masses.,Gravité manti cendi gaabi kaŋ ga massif cendi.
L'électricité circule dans les fils conducteurs.,Elektrisité ga dira šilli kondükter ra.
Le microscope permet d'observer les cellules.,Mikroskop ga naŋ boro ma cellule guna.
L'ADN contient notre information génétique.,ADN ga iri genetik bayrandey gaabu.
La vaccination protège contre les maladies.,Vaksinasyon ga boro jejebu wirci se.
Les planètes tournent autour du soleil.,Planet yaŋ ga waynoo kuryandi.
L'énergie solaire est une énergie renouvelable.,Waynoo enerži manti enerži kaŋ ga hin ka yenandi.
Les ordinateurs utilisent des algorithmes pour résoudre des problèmes.,Ordinater ga algoritm goy ka šenday feeri.
Le télescope Hubble observe l'espace lointain.,Teleskop Hubble ga beene gorodoo mooro guna.
La chimie étudie les transformations de la matière.,Šimi ga hayey barmayan caw.
Les bactéries peuvent être bénéfiques ou nuisibles.,Bakteriya ga hin ka boori wala ka laala.
La vitesse de la lumière est de 300 000 km/s.,Gaay cahãri ga ti kilomeetar 300 000 segond fo ra.
L'oxygène est essentiel à la respiration.,Oksižen ga tilasu hunanzamay se.
Le cerveau contrôle toutes les fonctions du corps.,Lakkal ga gaabu gaa-ham goyey kul.
La pression atmosphérique diminue avec l'altitude.,Atmosfer pressure ga kayna nda beene koyo.
Les fossiles sont des restes d'organismes préservés.,Fosil ti hayey jinawey kaŋ cindi kaŋ ga goro.
Les réactions chimiques libèrent ou absorbent de l'énergie.,Reakcion šimi yaŋ ga enerži taŋ wala ka enerži sambu.
Les cellules se divisent pour se reproduire.,Cellule yaŋ ga fay ka tonton.
La force est le produit de la masse par l'accélération.,Gaabi ga hun massa nda cahãri tontoni ra.
Les virus infectent les cellules pour se multiplier.,Virus yaŋ ga cellule yaŋ dam ka tonton.
L'équation E=mc² relie l'énergie à la masse.,Ekwasyon E=mc² ga enerži nda massa cendi cere ga.
Le système digestif transforme les aliments en nutriments.,Sistem gaahunam ŋwaari barmay nutriment ra.
Les satellites orbitent autour de la Terre.,Satelit yaŋ ga laboo kuryandi.
L'évolution explique la diversité des espèces.,Evolisyon ga dumi dumi-dumiyaŋ feeri.
La météorologie prédit les conditions atmosphériques.,Meteoloži ga atmosfer takari konnandi.
Les ondes radio transportent de l'information.,Radio onde yaŋ ga alhabar zaa ka koy.
La masse volumique est le rapport de la masse au volume.,Massa nda volume ga kaymanten feeri.
La tectonique des plaques explique les mouvements de la croûte terrestre.,Tektonik plak ga laboo kunga dirawey feeri.
Les anticorps combattent les agents pathogènes.,Antikor yaŋ ga wirci teekey tangam.
Le son voyage plus lentement que la lumière.,Jinde ga dira susumante nda gaay.
Les nutriments sont absorbés dans le sang.,Nutriment yaŋ ga huru kuri ra.
L'inertie est la résistance au changement de mouvement.,Inersi ga ti ganji kaŋ ga dira barmay.
La mitose est un processus de division cellulaire.,Mitoz manti cellule fayyan prosede.
La couche d'ozone protège la Terre des rayons ultraviolets.,Ozon kunga ga laboo jejebu ultraviole šiney ga.
Les hormones régulent les fonctions du corps.,Ormon yaŋ ga gaaham goyey kayandi.
Le pH mesure l'acidité ou la basicité d'une solution.,pH ga solution acidité wala basicité neeši.
La fusion nucléaire produit l'énergie du soleil.,Fisyon nikleeer ga waynoo enerži tee.
Les plantes absorbent le dioxyde de carbone et libèrent de l'oxygène.,Tuuri yaŋ ga dioksid karbon sambu ka oksižen taŋ.
L'écosystème est l'ensemble des êtres vivants et leur environnement.,Ekosistem ga ti hundikoyey nda ngi gorodogoo kul margante.
La température est une mesure de l'énergie cinétique des molécules.,Konni ga ti molekil yaŋ dirawey enerži neeši.
Les synapses permettent la transmission des signaux nerveux.,Sinaps ga naŋ nerve šinney ma bisa.
Le génome est l'ensemble du matériel génétique d'un organisme.,Genom ga ti hundikoy fo genetik jinawey kul.
Les lasers produisent des faisceaux de lumière cohérente.,Laser ga gaay fiti-fiti kaŋ ga sawa tee.
La résistance électrique est mesurée en ohms.,Elektrik ganji ga neeši nda ohm.
L'écholocation permet aux chauves-souris de naviguer dans l'obscurité.,Ekolokasyon ga naŋ faarey ma dira kubay ra.
Les allergies sont des réactions excessives du système immunitaire.,Alerži yaŋ ga ti reaksyon gaabantey sistem tangam ra.
La fibre optique transporte les données sous forme de lumière.,Fibr optik ga bayhaya zaa ka koy nda gaay.
La théorie de la relativité a été proposée par Einstein.,Teoriya relativité Einstein ka kate a.
L'énergie mécanique est la somme de l'énergie cinétique et potentielle.,Enerži mekanik ga ti enerži cinetik nda potansyel margante.
La chlorophylle capte l'énergie lumineuse pour la photosynthèse.,Klorofil ga gaay enerži dii photosynthèse se.
Les électrons circulent dans les circuits électroniques.,Elektron yaŋ ga dira šilli elektronik ra.
La radioactivité est l'émission spontanée de rayonnements.,Radyoaktivité ga ti šini taŋyan kaŋ si hantum.
L'hémoglobine transporte l'oxygène dans le sang.,Emoglobin ga oksižen zaa ka koy kuri ra.
La gravitation universelle attire tous les objets les uns vers les autres.,Gravitasyon iniversel ga jinay kul cendi cere ga.
Le tableau périodique classe les éléments chimiques.,Tablo peryodik ga element šimi yaŋ fay-fay.
Les enzymes accélèrent les réactions biochimiques.,Enzim yaŋ ga reaksyon byošimi cahãndi.
L'épigénétique étudie les modifications de l'expression des gènes.,Epiženetik ga žen bangayyan barmayan caw.
La diffraction est la déviation des ondes autour d'un obstacle.,Difrakšon ga ti onde gorodoo barmayan jinay fo jine.
Les transistors sont les composants de base des circuits intégrés.,Transistor yaŋ ga ti šilli entegre jina bebeerey.
La photosynthèse transforme l'énergie lumineuse en énergie chimique.,Fotosintez ga gaay enerži barmay enerži šimi ra.
La tectonique explique la formation des montagnes.,Tektonik ga tondi beerey teeyan feeri.
Le carbone est l'élément de base de la chimie organique.,Karbon ga ti element beberi šimi organik ra.
L'effet de serre maintient la température de la Terre.,Effet serre ga laboo konni gaabu.
La pression est une force par unité de surface.,Presyon ga ti gaabi kunga fo boŋ.
Les rayons X permettent de voir à travers les tissus mous.,Rayoŋ X ga naŋ boro ma guna gaaham hamey bande.
La cellule est l'unité de base de tout être vivant.,Cellule ga ti hundikoy kul sintina jinaa.
Les isotopes sont des atomes avec un nombre différent de neutrons.,Izotop yaŋ ga ti atom kaŋ gonda neutron hinna dumi-dumi.
La tension électrique est mesurée en volts.,Elektrik tension ga neeši nda volt.
La fission nucléaire libère une grande quantité d'énergie.,Fisyon nikleeer ga enerži boobo taŋ.
L'ADN polymérase réplique l'ADN lors de la division cellulaire.,ADN polimeraz ga ADN willandi cellule fayyan waate.
Les ondes électromagnétiques se propagent dans le vide.,Onde elektromagnetik yaŋ ga dira guuru ra.
La réfraction est la déviation de la lumière à l'interface de deux milieux.,Refrakšon ga ti gaay gorodoo barmayan kunga hinka game.
Les mutations génétiques peuvent être bénéfiques ou néfastes.,Ženetik mutasyon yaŋ ga hin ka boori wala ka laala.
Le système endocrinien régule les hormones.,Sistem endokrin ga ormon yaŋ kayandi.
Les semi-conducteurs sont à la base de l'électronique moderne.,Semi-kondükter yaŋ ga ti elektronik zamana sintinaa.
La polymérisation est l'assemblage de monomères en chaînes.,Polimerizasyon ga ti monomeer šilley margayan.
"La loi d'Ohm relie la tension, l'intensité et la résistance.","Ohm ašariya ga tension, intensité nda resistance cendi cere ga."
Les acides nucléiques stockent l'information génétique.,Asid nikleik yaŋ ga ženetik alhabar gaabu.
L'accélération est le taux de changement de la vitesse.,Akselerasyon ga ti cahãri barmayan adadu.
La cristallisation est le passage de l'état liquide à l'état solide.,Kristalizasyon ga ti hari barmaayan tondi.
Les protéines sont composées d'acides aminés.,Proteyin yaŋ ga te nda asid aminé.
Les neurones transmettent les influx nerveux.,Neuron yaŋ ga nerve influx yaŋ bisandi.
La thermodynamique étudie les transferts d'énergie.,Termodinamik ga enerži bisayan caw.
Les équations différentielles modélisent de nombreux phénomènes physiques.,Ekwasyon diferansyel yaŋ ga fizik takari booboyaŋ fee.
La symbiose est une association bénéfique entre deux organismes.,Simbyoz ga ti hundikoy hinka game margayan boori.
L'immunité est la capacité de l'organisme à se défendre contre les infections.,Iminité ga ti gaaham hina ka nga boŋ jejebu wirci se.
"Le spectre électromagnétique comprend les rayons gamma, X, UV, la lumière visible, l'infrarouge et les ondes radio.","Spektr elektromagnetik ga gaabu gamma šini, šini X, UV, gaay gundante, enfaruž nda radio onde."
La dérive génétique est un mécanisme de l'évolution.,Ženetik deriv ga ti mekanizm evolisyon ra.
La membrane cellulaire contrôle les échanges avec l'extérieur.,Cellule membran ga banda bisa-bisayan kayandi.
